   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.038    1.038 PngImagePlugin.py:633(_save)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:94(__init__)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:52(_accept)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
      243    0.002    0.000    0.024    0.000 Queue.py:107(put)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 Queue.py:197(_init)
      239    0.000    0.000    0.000    0.000 Queue.py:200(_qsize)
      243    0.000    0.000    0.000    0.000 Queue.py:204(_put)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:26(__init__)
      239    0.001    0.000    0.016    0.000 Queue.py:86(qsize)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:221(_accept)
        6    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        2    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
       10    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       14    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __about__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        6    0.001    0.000    0.002    0.000 __init__.py:1(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:10(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:1008(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:103(semantic_url)
       23    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
       12    0.000    0.000    0.000    0.000 __init__.py:1054(_fixupParents)
        1    0.000    0.000    0.006    0.006 __init__.py:107(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:107(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1094(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(Logger)
        1    0.000    0.000    0.084    0.084 __init__.py:11(_checkRequirements)
        1    0.000    0.000    0.000    0.000 __init__.py:1110(ResourceManager)
       13    0.000    0.000    0.000    0.000 __init__.py:1110(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1114(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1128(debug)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:122(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:124(DirEntry)
        7    0.000    0.000    0.000    0.000 __init__.py:125(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(LazyBase64Engine)
        3    0.000    0.000    0.000    0.000 __init__.py:1264(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:13(<module>)
       22    0.000    0.000    0.002    0.000 __init__.py:13(natsort)
        3    0.000    0.000    0.000    0.000 __init__.py:130(pi_to_number)
        8    0.000    0.000    0.000    0.000 __init__.py:1329(getEffectiveLevel)
      337    0.000    0.000    0.002    0.000 __init__.py:1330(safe_name)
      335    0.001    0.000    0.011    0.000 __init__.py:1338(safe_version)
        8    0.000    0.000    0.000    0.000 __init__.py:1343(isEnabledFor)
        9    0.000    0.000    0.000    0.000 __init__.py:136(deprecated_function)
        1    0.000    0.000    0.000    0.000 __init__.py:1367(MarkerEvaluation)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1384(LoggerAdapter)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        2    0.003    0.001    0.076    0.038 __init__.py:15(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:1550(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1552(NullProvider)
        5    0.000    0.000    0.000    0.000 __init__.py:1574(is_crypt_handler)
      127    0.000    0.000    0.003    0.000 __init__.py:1575(has_metadata)
       45    0.000    0.000    0.000    0.000 __init__.py:1577(<genexpr>)
        7    0.000    0.000    0.000    0.000 __init__.py:1579(get_metadata)
        9    0.000    0.000    0.000    0.000 __init__.py:158(build)
        7    0.000    0.000    0.000    0.000 __init__.py:1589(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
      134    0.000    0.000    0.000    0.000 __init__.py:1641(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1656(EggProvider)
        4    0.000    0.000    0.000    0.000 __init__.py:1663(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(DefaultProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
      121    0.000    0.000    0.001    0.000 __init__.py:1680(_has)
        7    0.000    0.000    0.000    0.000 __init__.py:1692(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
       17    0.000    0.000    0.000    0.000 __init__.py:170(make_simple_escaping_wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1702(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1710(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1716(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        2    0.000    0.000    0.001    0.001 __init__.py:1721(build)
      111    0.000    0.000    0.000    0.000 __init__.py:1732(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:1743(MemoizedZipManifests)
        8    0.000    0.000    0.001    0.000 __init__.py:1749(load)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1763(ContextualZipFile)
        2    0.000    0.000    0.001    0.000 __init__.py:1774(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1783(ZipProvider)
        6    0.000    0.000    0.000    0.000 __init__.py:1793(_zipinfo_name)
      417    0.000    0.000    0.002    0.000 __init__.py:18(<lambda>)
      721    0.004    0.000    0.007    0.000 __init__.py:18(unidecode)
      718    0.001    0.000    0.001    0.000 __init__.py:180(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        8    0.000    0.000    0.001    0.000 __init__.py:1812(zipinfo)
       13    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        2    0.000    0.000    0.000    0.000 __init__.py:1915(_index)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        6    0.000    0.000    0.002    0.000 __init__.py:1932(_has)
        3    0.000    0.000    0.000    0.000 __init__.py:194(current_pi_to_number)
        1    0.000    0.000    0.000    0.000 __init__.py:1951(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:196(Cache)
        7    0.000    0.000    0.000    0.000 __init__.py:196(deprecated_method)
       19    0.000    0.000    0.000    0.000 __init__.py:1963(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1966(has_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:198(SetuptoolsVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:1980(PathMetadata)
        1    0.001    0.001    0.078    0.078 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(<module>)
      314    0.000    0.000    0.000    0.000 __init__.py:2000(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2005(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:2008(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
